courseNumber,eval_link,quarter
MGT699,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15320,Fall
MGT814,,Fall
MGT815,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15380,Fall
MGT817,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15321,Fall
MGT822,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15532,Fall
MGT837,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15322,Fall
MGT867,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15323,Fall
MGT869,,Fall
MGT879,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15530,Fall
MGT890,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15324,Fall
MGT897,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15389,Fall
MGT921,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15325,Fall
MGT929,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15359,Fall
MGT932,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15391,Fall
MGT944,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15326,Fall
MGT948,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15327,Fall
MGT949,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15328,Fall
MGT953,,Fall
MGT956,,Fall
MGT960,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15329,Fall
MGT960,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15329,Fall
MGT970,,Fall
MGT975,,Fall
MGT984,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15756,Fall
MGT992,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15331,Fall
MGMT720a,,Spring-1
MGMT742a,,Spring-1
MGT408,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22104,Spring-1
MGT408,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22104,Spring-1
MGT408,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22104,Spring-1
MGT408,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22104,Spring-1
MGT408,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22104,Spring-1
MGT416,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22354,Spring-1
MGT416,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22354,Spring-1
MGT416,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22354,Spring-1
MGT416,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22354,Spring-1
MGT416,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22354,Spring-1
MGT416,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22354,Spring-1
MGT416,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22354,Spring-1
MGT416,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22354,Spring-1
MGT420,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22109,Spring-1
MGT420,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22109,Spring-1
MGT420,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22109,Spring-1
MGT420,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22109,Spring-1
MGT420,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22109,Spring-1
MGT422,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15544,Spring-1
MGT422,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15544,Spring-1
MGT422,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15544,Spring-1
MGT422,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15544,Spring-1
MGT422,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15544,Spring-1
MGT423,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22124,Spring-1
MGT423,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22124,Spring-1
MGT423,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22124,Spring-1
MGT423,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22124,Spring-1
MGT423,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22124,Spring-1
MGT529,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15395,Spring-1
MGT600,,Spring-1
MGT600,,Spring-1
MGT600,,Spring-1
MGT600,,Spring-1
MGT600,,Spring-1
MGT600,,Spring-1
MGT600,,Spring-1
MGT600,,Spring-1
MGT600,,Spring-1
MGT600,,Spring-1
MGT600,,Spring-1
MGT600,,Spring-1
MGT600,,Spring-1
MGT600,,Spring-1
MGT600,,Spring-1
MGT600,,Spring-1
MGT600,,Spring-1
MGT600,,Spring-1
MGT600,,Spring-1
MGT614,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22425,Spring-1
MGT620,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22426,Spring-1
MGT631,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22429,Spring-1
MGT631,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22429,Spring-1
MGT635,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22431,Spring-1
MGT636,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15341,Spring-1
MGT654,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22438,Spring-1
MGT665,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22441,Spring-1
MGT665,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22441,Spring-1
MGT665,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22441,Spring-1
MGT675,,Spring-1
MGT677,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22447,Spring-1
MGT801,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22452,Spring-1
MGT801,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22452,Spring-1
MGT806,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22456,Spring-1
MGT812,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22458,Spring-1
MGT812,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22458,Spring-1
MGT818,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22463,Spring-1
MGT819,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22464,Spring-1
MGT819,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22464,Spring-1
MGT819,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22464,Spring-1
MGT821,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22467,Spring-1
MGT822,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15532,Spring-1
MGT822,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15532,Spring-1
MGT831,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15344,Spring-1
MGT831,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15344,Spring-1
MGT832,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22474,Spring-1
MGT832,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22474,Spring-1
MGT832,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22474,Spring-1
MGT832,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22474,Spring-1
MGT841,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=24841,Spring-1
MGT846,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22481,Spring-1
MGT854,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22485,Spring-1
MGT854,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22485,Spring-1
MGT859,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22938,Spring-1
MGT864,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22493,Spring-1
MGT864,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22493,Spring-1
MGT871,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22497,Spring-1
MGT875,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202401&crn=22502,Spring-1
