courseNumber,courseTitle,daytime,faculty1,Units
MGT408,Introduction to Negotiation,M 10:10 AM-12:10 PM,"Nalebuff, Barry",1
MGT408,Introduction to Negotiation,M 1:00 PM-3:00 PM,"Nalebuff, Barry",1
MGT408,Introduction to Negotiation,M 3:10 PM-5:10 PM,"Nalebuff, Barry",1
MGT408,Introduction to Negotiation,T 10:10 AM-12:10 PM,"Nalebuff, Barry",1
MGT408,Introduction to Negotiation,T 1:00 PM-3:00 PM,"Nalebuff, Barry",1
MGT416,International Experience: Costa Rica,M 4:10 PM-7:10 PM,"Van Patten, Diana",4
MGT416,International Experience: Spain,T 4:10 PM-6:10 PM,"Arellano-Bover, Jaime",4
MGT416,International Experience: Mexico,T 4:10 PM-7:00 PM,"Argente, David",4
MGT416,International Experience: China,Th 4:10 PM-6:10 PM,"Huang, Zeqiong",4
MGT416,International Experience: Japan,W 4:10 PM-6:10 PM,"Watts, Edward",4
MGT416,International Experience: South Korea,M 6:00 PM-9:00 PM,"Kim, Sang",4
MGT416,International Experience: Ireland,W 10:10 AM-11:30 AM,"Spiegel, Matthew",4
MGT416,International Experience: Bhutan,T 4:10 PM-6:10 PM,"Lee, Mary Alice",4
MGT420,The Workforce,M  W 8:30 AM-9:50 AM,"Baron, James",2
MGT420,The Workforce,M  W 10:10 AM-11:30 AM,"Baron, James",2
MGT420,The Workforce,M  W 1:00 PM-2:20 PM,"Baron, James",2
MGT420,The Workforce,T  Th 10:10 AM-11:30 AM,"Baron, James",2
MGT420,The Workforce,T  Th 1:00 PM-2:20 PM,"Baron, James",2
MGT422,Operations Engine,M  W 1:00 PM-2:20 PM,"Lian, Zhen",2
MGT422,Operations Engine,M  W 2:40 PM-4:00 PM,"Lian, Zhen",2
MGT422,Operations Engine,T  Th 10:10 AM-11:30 AM,"Meng, Lesley",2
MGT422,Operations Engine,T  Th 1:00 PM-2:20 PM,"Meng, Lesley",2
MGT422,Operations Engine,T  Th 2:40 PM-4:00 PM,"Meng, Lesley",2
